filecode	status	variable_rows	value_rows	note
020	completed	15	180	
021	completed	348	1728	
022	completed	189	843	LAS2B022 BMRAVA9 uniquely refers to C/DRMCRAV in LAS2B222 while the surrounding 2B Raven items refer to BRMCRAV; the source cross-reference is retained.; The total medical-interview missing-count variable is BmRAABMIS in 2B but E/F/GmRABMIS in E/F/G; these superficial naming variants are harmonized to canonical mraabmis.
023	completed	10	94	
024	completed	3	54	
025	completed	260	1680	
026	completed	78	552	Mapping CSV lists wave K, but LASA026_varinfo.pdf documents variables only through J (plus MB); no K metadata were fabricated.
028	completed	192	1144	
029	completed	5	56	Source defines BRMMEEMO value -2 as “not missing”; fixed Plan B sign rule nevertheless sets is_missing=TRUE for all negative codes. Positive missing-reason codes 1/2/5 remain is_missing=FALSE under the same fixed rule.
030	completed	361	2572	LASAH030 documents HADL7D values as “see hadl6c” (rather than the expected HADL7C). The source cross-reference is preserved in value_raw; the referenced value system is semantically identical.
027	unresolved			Mapped LASA027_varinfo.pdf absent from codebook/; not counted as completed
